source_page,url,host,filename,extension
https://ecn.sandia.gov/gasoline-spray-combustion/target-condition/primary-spray-g-datasets/,https://ecn.sandia.gov/G/data/droplet/PDI_distribution.xlsx,ecn.sandia.gov,PDI_distribution.xlsx,.xlsx
https://ecn.sandia.gov/gasoline-spray-combustion/target-condition/primary-spray-g-datasets/,https://ecn.sandia.gov/G/data/liq/bratgll1-liq.txt,ecn.sandia.gov,bratgll1-liq.txt,.txt
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/Chamber_T.zip,ecn.sandia.gov,Chamber_T.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G1/3C_G1_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G1_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G1/3C_G1_liquid_length.zip,ecn.sandia.gov,3C_G1_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G1/3C_G1_vapor_length.zip,ecn.sandia.gov,3C_G1_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2-cold/3C_G2C_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G2C_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2-cold/3C_G2C_liquid_length.zip,ecn.sandia.gov,3C_G2C_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2-cold/3C_G2C_vapor_length.zip,ecn.sandia.gov,3C_G2C_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2/3C_G2_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G2_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2/3C_G2_liquid_length.zip,ecn.sandia.gov,3C_G2_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G2/3C_G2_vapor_length.zip,ecn.sandia.gov,3C_G2_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-cold/3C_G3C_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G3C_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-cold/3C_G3C_liquid_length.zip,ecn.sandia.gov,3C_G3C_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-cold/3C_G3C_vapor_length.zip,ecn.sandia.gov,3C_G3C_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-double/3C_G3D_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G3D_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-double/3C_G3D_liquid_length.zip,ecn.sandia.gov,3C_G3D_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3-double/3C_G3D_vapor_length.zip,ecn.sandia.gov,3C_G3D_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3/3C_G3_3D_CT_data_ECN.zip,ecn.sandia.gov,3C_G3_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3/3C_G3_liquid_length.zip,ecn.sandia.gov,3C_G3_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/e00/G3/3C_G3_vapor_length.zip,ecn.sandia.gov,3C_G3_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G1/ic8_G1_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G1_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G1/ic8_G1_liquid_length.zip,ecn.sandia.gov,ic8_G1_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G1/ic8_G1_vapor_length.zip,ecn.sandia.gov,ic8_G1_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2-cold/ic8_G2C_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G2C_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2-cold/ic8_G2C_liquid_length.zip,ecn.sandia.gov,ic8_G2C_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2-cold/ic8_G2C_vapor_length.zip,ecn.sandia.gov,ic8_G2C_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2/ic8_G2_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G2_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2/ic8_G2_liquid_length.zip,ecn.sandia.gov,ic8_G2_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G2/ic8_G2_vapor_length.zip,ecn.sandia.gov,ic8_G2_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-cold/ic8_G3C_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G3C_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-cold/ic8_G3C_liquid_length.zip,ecn.sandia.gov,ic8_G3C_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-cold/ic8_G3C_vapor_length.zip,ecn.sandia.gov,ic8_G3C_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-double/ic8_G3D_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G3D_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-double/ic8_G3D_liquid_length.zip,ecn.sandia.gov,ic8_G3D_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3-double/ic8_G3D_vapor_length.zip,ecn.sandia.gov,ic8_G3D_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3/ic8_G3_3D_CT_data_ECN.zip,ecn.sandia.gov,ic8_G3_3D_CT_data_ECN.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3/ic8_G3_liquid_length.zip,ecn.sandia.gov,ic8_G3_liquid_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/ic8/G3/ic8_G3_vapor_length.zip,ecn.sandia.gov,ic8_G3_vapor_length.zip,.zip
https://ecn.sandia.gov/data/sandia-spray-g-data/,https://ecn.sandia.gov/G/data/lvf/manual_Spray G_example_code.zip,ecn.sandia.gov,manual_Spray G_example_code.zip,.zip
